;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00523188,0.000171492
1,244.141,0.00523188,0.000171492
2,488.281,0.0015146,4.96951e-05
3,732.422,0.00012698,4.75021e-06
4,976.563,1.93676e-05,2.16665e-06
5,1220.7,1.74041e-05,1.91965e-06
6,1464.84,1.57498e-05,1.80744e-06
7,1708.98,1.4406e-05,1.8466e-06
8,1953.13,1.46575e-05,1.81067e-06
9,2197.27,1.53316e-05,1.69808e-06
10,2441.41,1.44112e-05,1.65076e-06
11,2685.55,1.3195e-05,1.62518e-06
12,2929.69,1.34356e-05,1.59173e-06
13,3173.83,1.38643e-05,1.58769e-06
14,3417.97,1.33273e-05,1.57847e-06
15,3662.11,1.36882e-05,1.59393e-06
16,3906.25,1.4031e-05,1.63998e-06
17,4150.39,1.33102e-05,1.60262e-06
18,4394.53,1.2946e-05,1.5105e-06
19,4638.67,1.32568e-05,1.46563e-06
20,4882.81,1.31767e-05,1.46202e-06
21,5126.95,1.30759e-05,1.49397e-06
22,5371.09,1.27746e-05,1.47254e-06
23,5615.23,1.2785e-05,1.47677e-06
24,5859.38,1.28832e-05,1.54276e-06
25,6103.52,1.24121e-05,1.60516e-06
26,6347.66,1.21841e-05,1.60611e-06
27,6591.8,1.28223e-05,1.51453e-06
28,6835.94,1.33438e-05,1.49586e-06
29,7080.08,1.27272e-05,1.51957e-06
30,7324.22,1.23861e-05,1.50122e-06
31,7568.36,1.29222e-05,1.51843e-06
32,7812.5,1.36327e-05,1.54174e-06
33,8056.64,1.3195e-05,1.50341e-06
34,8300.78,1.2311e-05,1.47632e-06
35,8544.92,1.22717e-05,1.46717e-06
36,8789.06,1.22765e-05,1.46113e-06
37,9033.2,1.24422e-05,1.463e-06
38,9277.34,1.27008e-05,1.43691e-06
39,9521.48,1.27801e-05,1.49682e-06
40,9765.63,1.22689e-05,1.58514e-06
41,10009.8,1.21531e-05,1.50253e-06
42,10253.9,1.2354e-05,1.49972e-06
43,10498,1.25131e-05,1.57033e-06
44,10742.2,1.26275e-05,1.5239e-06
45,10986.3,1.28285e-05,1.44997e-06
46,11230.5,1.27015e-05,1.44416e-06
47,11474.6,1.28924e-05,1.46582e-06
48,11718.8,1.30067e-05,1.53783e-06
49,11962.9,1.29926e-05,1.54529e-06
50,12207,1.27538e-05,1.52451e-06
51,12451.2,1.26576e-05,1.5166e-06
52,12695.3,1.2711e-05,1.49179e-06
53,12939.5,1.27512e-05,1.50436e-06
54,13183.6,1.2838e-05,1.57302e-06
55,13427.7,1.30072e-05,1.53876e-06
56,13671.9,1.32983e-05,1.49624e-06
57,13916,1.29288e-05,1.52523e-06
58,14160.2,1.25634e-05,1.53426e-06
59,14404.3,1.30854e-05,1.48879e-06
60,14648.4,1.31098e-05,1.51878e-06
61,14892.6,1.2668e-05,1.61437e-06
62,15136.7,1.24071e-05,1.58145e-06
63,15380.9,1.22626e-05,1.46178e-06
64,15625,1.26353e-05,1.44809e-06
65,15869.1,1.31766e-05,1.44312e-06
66,16113.3,1.30237e-05,1.45921e-06
67,16357.4,1.25031e-05,1.52979e-06
68,16601.6,1.23545e-05,1.52331e-06
69,16845.7,1.26929e-05,1.5117e-06
70,17089.8,1.31513e-05,1.49649e-06
71,17334,1.31936e-05,1.50197e-06
72,17578.1,1.28379e-05,1.54919e-06
73,17822.3,1.32875e-05,1.59065e-06
74,18066.4,1.34462e-05,1.58339e-06
75,18310.5,1.31205e-05,1.53121e-06
76,18554.7,1.32007e-05,1.54558e-06
77,18798.8,1.322e-05,1.54093e-06
78,19043,1.30231e-05,1.50197e-06
79,19287.1,1.26055e-05,1.54687e-06
80,19531.3,1.28111e-05,1.5224e-06
81,19775.4,1.31135e-05,1.46598e-06
82,20019.5,1.28802e-05,1.46851e-06
83,20263.7,1.27643e-05,1.4388e-06
84,20507.8,1.24781e-05,1.46553e-06
85,20752,1.25595e-05,1.47191e-06
86,20996.1,1.25512e-05,1.40859e-06
87,21240.2,1.25368e-05,1.40366e-06
88,21484.4,1.28028e-05,1.4362e-06
89,21728.5,1.30045e-05,1.44424e-06
90,21972.7,1.28503e-05,1.46046e-06
91,22216.8,1.25917e-05,1.46256e-06
92,22460.9,1.2878e-05,1.51978e-06
93,22705.1,1.27908e-05,1.49098e-06
94,22949.2,1.29179e-05,1.46485e-06
95,23193.4,1.29873e-05,1.49522e-06
96,23437.5,1.28858e-05,1.49955e-06
97,23681.6,1.30552e-05,1.4998e-06
98,23925.8,1.27559e-05,1.53208e-06
99,24169.9,1.22191e-05,1.50389e-06
100,24414.1,1.1644e-05,1.50243e-06
101,24658.2,1.18187e-05,1.50941e-06
102,24902.3,1.27093e-05,1.5273e-06
103,25146.5,1.27069e-05,1.44939e-06
104,25390.6,1.23656e-05,1.45162e-06
105,25634.8,1.26794e-05,1.47139e-06
106,25878.9,1.30148e-05,1.43249e-06
107,26123,1.21792e-05,1.4612e-06
108,26367.2,1.24083e-05,1.54078e-06
109,26611.3,1.29655e-05,1.56875e-06
110,26855.5,1.31842e-05,1.51646e-06
111,27099.6,1.32539e-05,1.54537e-06
112,27343.8,1.33108e-05,1.57004e-06
113,27587.9,1.30651e-05,1.53868e-06
114,27832,1.24641e-05,1.51038e-06
115,28076.2,1.27112e-05,1.45911e-06
116,28320.3,1.32486e-05,1.47823e-06
117,28564.5,1.30562e-05,1.51173e-06
118,28808.6,1.24332e-05,1.46322e-06
119,29052.7,1.25167e-05,1.41681e-06
120,29296.9,1.23957e-05,1.40094e-06
121,29541,1.24153e-05,1.37212e-06
122,29785.2,1.20362e-05,1.36238e-06
123,30029.3,1.17894e-05,1.37234e-06
124,30273.4,1.27236e-05,1.40218e-06
125,30517.6,1.39075e-05,1.42724e-06
126,30761.7,1.35126e-05,1.44566e-06
127,31005.9,1.26531e-05,1.42724e-06
128,31250,1.30123e-05,1.45722e-06
129,31494.1,1.37122e-05,1.45265e-06
130,31738.3,1.35187e-05,1.41203e-06
131,31982.4,1.30384e-05,1.4311e-06
132,32226.6,1.29218e-05,1.48416e-06
133,32470.7,1.26441e-05,1.50031e-06
134,32714.8,1.30095e-05,1.49182e-06
135,32959,1.3509e-05,1.54576e-06
136,33203.1,1.28852e-05,1.54853e-06
137,33447.3,1.27898e-05,1.45238e-06
138,33691.4,1.29285e-05,1.42184e-06
139,33935.5,1.25514e-05,1.45522e-06
140,34179.7,1.25671e-05,1.51894e-06
141,34423.8,1.21582e-05,1.51878e-06
142,34668,1.21021e-05,1.44416e-06
143,34912.1,1.26001e-05,1.42088e-06
144,35156.3,1.27119e-05,1.42881e-06
145,35400.4,1.23096e-05,1.46063e-06
146,35644.5,1.2321e-05,1.49006e-06
147,35888.7,1.25371e-05,1.44782e-06
148,36132.8,1.27764e-05,1.41473e-06
149,36377,1.30323e-05,1.44346e-06
150,36621.1,1.2625e-05,1.48301e-06
151,36865.2,1.209e-05,1.45897e-06
152,37109.4,1.2211e-05,1.41454e-06
153,37353.5,1.28519e-05,1.42897e-06
154,37597.7,1.31337e-05,1.42939e-06
155,37841.8,1.3077e-05,1.43997e-06
156,38085.9,1.25692e-05,1.4517e-06
157,38330.1,1.20352e-05,1.45306e-06
158,38574.2,1.21548e-05,1.46318e-06
