// SR1 Audio Analyzer: 10/21/2024 7:59:42 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,9.97519793048296E-8
3.90625,1.04964868595394E-7
7.8125,1.06230403063929E-7
11.71875,9.66490808395623E-8
15.625,8.50322237852843E-8
19.53125,7.78970002111627E-8
23.4375,7.58642679397065E-8
27.34375,7.42278141779834E-8
31.25,7.16236278215903E-8
35.15625,7.01574369537984E-8
39.0625,6.78266278311658E-8
42.96875,6.44942004442973E-8
46.875,6.3806979723204E-8
50.78125,9.50131826865821E-8
54.6875,1.93496162375831E-7
58.59375,2.82028761655438E-7
62.5,2.68928875079878E-7
66.40625,1.70265050474957E-7
70.3125,8.52950740726963E-8
74.21875,6.11266130600408E-8
78.125,5.8090319520706E-8
82.03125,5.98987746388297E-8
85.9375,6.10514719340327E-8
89.84375,5.91045731492003E-8
93.75,5.67440923279414E-8
97.65625,5.50240486203252E-8
101.5625,5.43211849972099E-8
105.46875,5.43895772821826E-8
109.375,5.72430173764871E-8
113.28125,7.79826393183524E-8
117.1875,1.1175736064381E-7
121.09375,1.20407260112054E-7
125,9.19844945767777E-8
128.90625,6.15142279843903E-8
132.8125,5.38665486199627E-8
136.71875,5.42316080660283E-8
140.625,5.52405598907767E-8
144.53125,5.51072287319774E-8
148.4375,5.48311014640765E-8
152.34375,5.39051285427799E-8
156.25,5.17185918956382E-8
160.15625,5.13462052887573E-8
164.0625,5.42120220124836E-8
167.96875,6.6047992781932E-8
171.875,1.30082592341886E-7
175.78125,2.46019020904875E-7
179.6875,3.14497265755655E-7
183.59375,2.61963238873382E-7
187.5,1.4182296380608E-7
191.40625,6.33638794447323E-8
195.3125,4.93670200198631E-8
199.21875,4.86969194762061E-8
203.125,5.03531673833268E-8
207.03125,5.2086562956306E-8
210.9375,5.30927351539135E-8
214.84375,5.19576309384501E-8
218.75,4.93746281261266E-8
222.65625,4.8644178925303E-8
226.5625,4.97535322469794E-8
230.46875,5.4371877841809E-8
234.375,6.85995741034236E-8
238.28125,8.51643962046693E-8
242.1875,8.39502223881761E-8
246.09375,6.65598844209079E-8
250,5.43275685360728E-8
253.90625,5.11979592879293E-8
257.8125,5.02719803131619E-8
261.71875,5.12416011489294E-8
265.625,5.32351006694628E-8
269.53125,5.29638115282783E-8
273.4375,5.15094574913699E-8
277.34375,5.19832347228165E-8
281.25,5.32047520360869E-8
285.15625,5.28844483805085E-8
289.0625,5.45782939650054E-8
