;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00172835,0.207265
1,24.4141,0.00172835,0.207265
2,48.8281,0.000500086,0.0599727
3,73.2422,4.18465e-05,0.00497904
4,97.6563,7.95014e-06,0.000588489
5,122.07,8.3632e-06,0.000609229
6,146.484,8.47305e-06,0.000611909
7,170.898,8.1614e-06,0.000597637
8,195.313,7.74794e-06,0.000560397
9,219.727,7.46201e-06,0.00054348
10,244.141,7.77105e-06,0.000584655
11,268.555,7.88455e-06,0.00060436
12,292.969,7.91204e-06,0.000600715
13,317.383,7.71815e-06,0.000575301
14,341.797,7.5662e-06,0.000548617
15,366.211,7.85774e-06,0.000559337
16,390.625,8.19955e-06,0.000572869
17,415.039,8.19779e-06,0.000578171
18,439.453,7.70715e-06,0.000578016
19,463.867,7.88187e-06,0.000609311
20,488.281,7.98599e-06,0.000611931
21,512.695,8.41529e-06,0.000601701
22,537.109,8.59062e-06,0.00058168
23,561.523,8.13862e-06,0.00056595
24,585.938,7.95616e-06,0.000574582
25,610.352,7.75205e-06,0.000568677
26,634.766,7.86634e-06,0.000584598
27,659.18,7.98935e-06,0.000583804
28,683.594,7.94836e-06,0.000587013
29,708.008,7.94017e-06,0.000591761
30,732.422,7.99931e-06,0.000594318
31,756.836,7.85569e-06,0.000583771
32,781.25,7.80042e-06,0.000556049
33,805.664,7.75551e-06,0.000571125
34,830.078,7.97223e-06,0.00060386
35,854.492,8.0918e-06,0.000592477
36,878.906,7.83307e-06,0.000576655
37,903.32,7.83248e-06,0.000589159
38,927.734,7.8529e-06,0.000587114
39,952.148,7.66058e-06,0.00056438
40,976.563,7.50157e-06,0.000567375
41,1000.98,7.824e-06,0.000599568
42,1025.39,7.96611e-06,0.000617696
43,1049.8,7.79828e-06,0.00060082
44,1074.22,7.52791e-06,0.000565464
45,1098.63,7.4981e-06,0.000555862
46,1123.05,7.79156e-06,0.000569001
47,1147.46,7.87526e-06,0.000588348
48,1171.88,7.89445e-06,0.000613074
49,1196.29,7.68063e-06,0.000620427
50,1220.7,7.67506e-06,0.000627217
51,1245.12,7.72822e-06,0.000608048
52,1269.53,7.89443e-06,0.000604618
53,1293.95,7.94769e-06,0.000614844
54,1318.36,7.88852e-06,0.000597552
55,1342.77,7.65617e-06,0.000575256
56,1367.19,7.68642e-06,0.000562727
57,1391.6,7.86185e-06,0.000556993
58,1416.02,7.78141e-06,0.00055995
59,1440.43,7.84025e-06,0.000577177
60,1464.84,8.08361e-06,0.000584631
61,1489.26,7.94281e-06,0.000563733
62,1513.67,8.11712e-06,0.000576643
63,1538.09,8.24506e-06,0.000597351
64,1562.5,8.06799e-06,0.000592135
65,1586.91,7.93663e-06,0.000590115
66,1611.33,7.83498e-06,0.000609868
67,1635.74,7.81153e-06,0.000595275
68,1660.16,7.95294e-06,0.000573682
69,1684.57,7.84747e-06,0.000568695
70,1708.98,7.48487e-06,0.000558274
71,1733.4,7.58956e-06,0.000563371
72,1757.81,7.75027e-06,0.000573948
73,1782.23,7.99082e-06,0.000596683
74,1806.64,8.05244e-06,0.000601899
75,1831.05,7.8652e-06,0.000588263
76,1855.47,7.67514e-06,0.000582935
77,1879.88,7.53848e-06,0.000568422
78,1904.3,8.08487e-06,0.000591294
79,1928.71,8.27327e-06,0.000616242
80,1953.13,7.70109e-06,0.000599994
81,1977.54,7.55899e-06,0.000579343
82,2001.95,7.58542e-06,0.000570473
83,2026.37,7.6236e-06,0.00057048
84,2050.78,7.68949e-06,0.00056758
85,2075.2,7.99207e-06,0.000575449
86,2099.61,7.96075e-06,0.000572922
87,2124.02,7.82172e-06,0.000569664
88,2148.44,7.8536e-06,0.000575993
89,2172.85,7.91243e-06,0.00058693
90,2197.27,8.20094e-06,0.000613482
91,2221.68,8.05076e-06,0.000615059
92,2246.09,7.64958e-06,0.000597936
93,2270.51,7.43205e-06,0.000578708
94,2294.92,7.40426e-06,0.000568145
95,2319.34,7.55751e-06,0.00057824
96,2343.75,7.63653e-06,0.00058207
97,2368.16,7.59752e-06,0.000570581
98,2392.58,7.88031e-06,0.000588561
99,2416.99,8.35067e-06,0.000628943
100,2441.41,8.81826e-06,0.000661943
101,2465.82,8.374e-06,0.000639462
102,2490.23,7.82343e-06,0.000595204
103,2514.65,8.3115e-06,0.000597971
104,2539.06,8.56439e-06,0.00060083
105,2563.48,7.86319e-06,0.000565465
106,2587.89,7.46223e-06,0.000538497
107,2612.3,7.24328e-06,0.000533322
108,2636.72,7.27849e-06,0.000551986
109,2661.13,7.61678e-06,0.000565156
110,2685.55,7.94674e-06,0.000577265
111,2709.96,8.0714e-06,0.000591741
112,2734.38,8.00821e-06,0.000596911
113,2758.79,8.09233e-06,0.000596089
114,2783.2,8.26329e-06,0.000586835
115,2807.62,8.18652e-06,0.00058962
116,2832.03,7.57046e-06,0.00057384
117,2856.45,7.48802e-06,0.000566301
118,2880.86,7.76258e-06,0.000588658
119,2905.27,7.68061e-06,0.00058278
120,2929.69,7.68203e-06,0.000569723
121,2954.1,7.73916e-06,0.000578981
122,2978.52,7.87217e-06,0.000592387
123,3002.93,7.75045e-06,0.000592285
124,3027.34,7.43707e-06,0.000566811
125,3051.76,7.645e-06,0.000565695
126,3076.17,7.87939e-06,0.000576809
127,3100.59,7.86251e-06,0.000568551
128,3125,7.79262e-06,0.000561087
129,3149.41,7.64604e-06,0.0005496
130,3173.83,7.54469e-06,0.000547437
131,3198.24,7.80415e-06,0.000568135
132,3222.66,7.7791e-06,0.000573411
133,3247.07,7.47699e-06,0.000573366
134,3271.48,7.70334e-06,0.000586917
135,3295.9,7.64144e-06,0.000564983
136,3320.31,7.45179e-06,0.0005522
137,3344.73,7.4952e-06,0.000559272
138,3369.14,7.70532e-06,0.000570725
139,3393.55,7.83158e-06,0.000562021
140,3417.97,7.76932e-06,0.000552083
141,3442.38,7.77798e-06,0.000564172
142,3466.8,7.66803e-06,0.000560267
143,3491.21,7.8319e-06,0.000551015
144,3515.63,8.06994e-06,0.00056797
145,3540.04,7.78105e-06,0.000574631
146,3564.45,7.47716e-06,0.000550815
147,3588.87,7.56036e-06,0.000530406
148,3613.28,7.62676e-06,0.000541138
149,3637.7,8.00113e-06,0.000568289
150,3662.11,8.37115e-06,0.000597288
151,3686.52,7.99422e-06,0.000598222
152,3710.94,7.93546e-06,0.000591405
153,3735.35,8.07514e-06,0.000596262
154,3759.77,8.28373e-06,0.000624666
155,3784.18,8.45425e-06,0.000633798
156,3808.59,8.38119e-06,0.000633626
157,3833.01,8.38773e-06,0.000635142
158,3857.42,8.43361e-06,0.000596119
