;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00167167,0.00494774
1,24.4141,0.00167167,0.00494774
2,48.8281,0.00048415,0.00143346
3,73.2422,4.06413e-05,0.000123206
4,97.6563,4.15611e-06,2.93617e-05
5,122.07,3.81562e-06,2.99508e-05
6,146.484,3.91465e-06,2.97889e-05
7,170.898,3.93249e-06,2.87318e-05
8,195.313,4.01873e-06,2.78838e-05
9,219.727,4.01489e-06,2.81388e-05
10,244.141,3.86212e-06,2.97464e-05
11,268.555,3.88823e-06,2.95517e-05
12,292.969,4.05807e-06,2.78008e-05
13,317.383,4.02375e-06,2.8229e-05
14,341.797,3.99097e-06,2.86429e-05
15,366.211,4.11834e-06,2.90115e-05
16,390.625,4.13174e-06,2.9445e-05
17,415.039,4.03105e-06,2.94665e-05
18,439.453,3.83233e-06,2.99597e-05
19,463.867,3.77223e-06,3.01318e-05
20,488.281,4.0286e-06,2.91641e-05
21,512.695,4.20222e-06,2.74739e-05
22,537.109,4.15962e-06,2.67773e-05
23,561.523,4.15047e-06,2.72271e-05
24,585.938,4.10226e-06,2.70454e-05
25,610.352,4.09022e-06,2.70338e-05
26,634.766,4.17452e-06,2.70027e-05
27,659.18,4.19943e-06,2.6931e-05
28,683.594,4.24249e-06,2.74453e-05
29,708.008,4.18217e-06,2.75454e-05
30,732.422,4.22617e-06,2.69377e-05
31,756.836,4.4071e-06,2.76588e-05
32,781.25,4.40569e-06,2.91922e-05
33,805.664,4.29235e-06,2.86696e-05
34,830.078,4.09528e-06,2.78909e-05
35,854.492,3.94999e-06,2.88174e-05
36,878.906,4.23458e-06,2.84544e-05
37,903.32,4.41582e-06,2.72379e-05
38,927.734,4.32468e-06,2.74101e-05
39,952.148,4.18709e-06,2.76995e-05
40,976.563,4.01682e-06,2.77282e-05
41,1000.98,3.92307e-06,2.82035e-05
42,1025.39,3.92035e-06,2.84906e-05
43,1049.8,3.7708e-06,2.90163e-05
44,1074.22,3.75238e-06,2.89456e-05
45,1098.63,3.9561e-06,2.86268e-05
46,1123.05,4.03923e-06,2.76069e-05
47,1147.46,3.92162e-06,2.81024e-05
48,1171.88,3.89827e-06,2.88671e-05
49,1196.29,3.88253e-06,2.84821e-05
50,1220.7,3.90226e-06,2.77571e-05
51,1245.12,4.09429e-06,2.72011e-05
52,1269.53,4.04691e-06,2.70561e-05
53,1293.95,3.80105e-06,2.75811e-05
54,1318.36,3.60702e-06,2.80702e-05
55,1342.77,3.47687e-06,2.8378e-05
56,1367.19,3.50233e-06,2.80986e-05
57,1391.6,3.67371e-06,2.82524e-05
58,1416.02,3.71191e-06,2.83392e-05
59,1440.43,3.70478e-06,2.82049e-05
60,1464.84,3.84032e-06,2.85558e-05
61,1489.26,3.94264e-06,2.83182e-05
62,1513.67,3.93695e-06,2.75012e-05
63,1538.09,3.88562e-06,2.73251e-05
64,1562.5,3.82225e-06,2.74454e-05
65,1586.91,3.8874e-06,2.6797e-05
66,1611.33,3.87045e-06,2.66309e-05
67,1635.74,3.72776e-06,2.83315e-05
68,1660.16,3.82111e-06,2.89547e-05
69,1684.57,3.79444e-06,2.91218e-05
70,1708.98,3.69953e-06,2.9359e-05
71,1733.4,3.80622e-06,2.92768e-05
72,1757.81,3.80986e-06,2.77462e-05
73,1782.23,3.87535e-06,2.64454e-05
74,1806.64,3.80457e-06,2.686e-05
75,1831.05,3.64069e-06,2.80193e-05
76,1855.47,3.78051e-06,2.86225e-05
77,1879.88,3.86469e-06,2.89441e-05
78,1904.3,3.94077e-06,2.955e-05
79,1928.71,3.90967e-06,2.86393e-05
80,1953.13,3.71542e-06,2.79959e-05
81,1977.54,3.63577e-06,2.84952e-05
82,2001.95,3.65801e-06,2.94638e-05
83,2026.37,3.60363e-06,2.82164e-05
84,2050.78,3.81777e-06,2.64748e-05
85,2075.2,4.02626e-06,2.68664e-05
86,2099.61,4.01232e-06,2.84029e-05
87,2124.02,3.91951e-06,2.94061e-05
88,2148.44,3.93237e-06,2.88684e-05
89,2172.85,3.83997e-06,2.78798e-05
90,2197.27,3.91243e-06,2.83729e-05
91,2221.68,4.01003e-06,2.88099e-05
92,2246.09,3.82861e-06,2.87665e-05
93,2270.51,3.68934e-06,2.83717e-05
94,2294.92,3.82628e-06,2.66977e-05
95,2319.34,3.91098e-06,2.6828e-05
96,2343.75,3.77826e-06,2.80305e-05
97,2368.16,3.58075e-06,2.85506e-05
98,2392.58,3.54191e-06,2.85196e-05
99,2416.99,3.73591e-06,2.83488e-05
100,2441.41,3.97836e-06,2.80032e-05
101,2465.82,3.98651e-06,2.78121e-05
102,2490.23,3.79755e-06,2.83523e-05
103,2514.65,3.74397e-06,2.8411e-05
104,2539.06,3.8575e-06,2.95535e-05
105,2563.48,3.8731e-06,3.01028e-05
106,2587.89,3.8489e-06,2.92809e-05
107,2612.3,3.92703e-06,2.79013e-05
108,2636.72,3.88227e-06,2.7158e-05
109,2661.13,3.97144e-06,2.73894e-05
110,2685.55,3.83374e-06,2.69797e-05
111,2709.96,3.65868e-06,2.72577e-05
112,2734.38,3.67374e-06,2.79386e-05
113,2758.79,3.83907e-06,2.85243e-05
114,2783.2,3.8466e-06,3.01321e-05
115,2807.62,3.75385e-06,2.90203e-05
116,2832.03,3.70581e-06,2.78008e-05
117,2856.45,3.74002e-06,2.85342e-05
118,2880.86,3.81065e-06,2.8527e-05
119,2905.27,3.71215e-06,2.73578e-05
120,2929.69,3.70699e-06,2.72755e-05
121,2954.1,3.88526e-06,2.8325e-05
122,2978.52,3.98145e-06,2.93956e-05
123,3002.93,3.84107e-06,2.90901e-05
124,3027.34,3.89239e-06,2.83213e-05
125,3051.76,3.98759e-06,2.82233e-05
126,3076.17,3.98292e-06,2.77672e-05
127,3100.59,3.89703e-06,2.74134e-05
128,3125,3.84272e-06,2.83379e-05
129,3149.41,3.846e-06,2.91046e-05
130,3173.83,3.89792e-06,2.90325e-05
131,3198.24,3.85291e-06,2.79466e-05
132,3222.66,3.82615e-06,2.75783e-05
133,3247.07,3.84195e-06,2.77792e-05
134,3271.48,3.77067e-06,2.78201e-05
