;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00166849,0.00310775
1,24.4141,0.00166849,0.00310775
2,48.8281,0.000482746,0.000898981
3,73.2422,4.00789e-05,7.56059e-05
4,97.6563,4.35743e-06,1.62661e-05
5,122.07,4.04535e-06,1.60394e-05
6,146.484,4.02684e-06,1.58036e-05
7,170.898,3.93061e-06,1.54979e-05
8,195.313,3.92778e-06,1.53999e-05
9,219.727,3.92378e-06,1.56004e-05
10,244.141,3.83794e-06,1.60264e-05
11,268.555,3.82958e-06,1.66814e-05
12,292.969,3.96747e-06,1.65738e-05
13,317.383,4.0758e-06,1.60018e-05
14,341.797,4.06583e-06,1.60947e-05
15,366.211,4.16922e-06,1.66859e-05
16,390.625,4.24478e-06,1.65821e-05
17,415.039,4.15534e-06,1.65199e-05
18,439.453,3.99015e-06,1.73257e-05
19,463.867,3.80022e-06,1.88232e-05
20,488.281,3.76573e-06,1.8245e-05
21,512.695,3.85094e-06,1.6468e-05
22,537.109,3.92092e-06,1.60616e-05
23,561.523,3.90396e-06,1.58956e-05
24,585.938,4.05798e-06,1.57025e-05
25,610.352,4.20611e-06,1.59703e-05
26,634.766,4.07402e-06,1.62806e-05
27,659.18,4.01972e-06,1.63927e-05
28,683.594,4.02615e-06,1.66061e-05
29,708.008,4.06453e-06,1.62282e-05
30,732.422,4.15029e-06,1.59869e-05
31,756.836,4.18062e-06,1.65437e-05
32,781.25,4.12208e-06,1.56941e-05
33,805.664,4.07915e-06,1.51715e-05
34,830.078,3.95354e-06,1.59606e-05
35,854.492,3.94011e-06,1.64426e-05
36,878.906,4.10476e-06,1.5753e-05
37,903.32,4.14331e-06,1.54667e-05
38,927.734,4.13287e-06,1.58408e-05
39,952.148,4.16086e-06,1.56307e-05
40,976.563,4.07762e-06,1.5504e-05
41,1000.98,4.03235e-06,1.59168e-05
42,1025.39,3.95535e-06,1.65185e-05
43,1049.8,3.75839e-06,1.60593e-05
44,1074.22,3.94064e-06,1.58083e-05
45,1098.63,4.08128e-06,1.60348e-05
46,1123.05,4.03957e-06,1.64996e-05
47,1147.46,3.86423e-06,1.65844e-05
48,1171.88,3.7909e-06,1.57171e-05
49,1196.29,3.92532e-06,1.52455e-05
50,1220.7,4.15084e-06,1.55501e-05
51,1245.12,4.13298e-06,1.53055e-05
52,1269.53,3.91046e-06,1.53132e-05
53,1293.95,3.81469e-06,1.60454e-05
54,1318.36,3.73382e-06,1.63441e-05
55,1342.77,3.79639e-06,1.61126e-05
56,1367.19,4.07589e-06,1.60679e-05
57,1391.6,4.21388e-06,1.55731e-05
58,1416.02,3.96386e-06,1.515e-05
59,1440.43,3.68938e-06,1.53493e-05
60,1464.84,3.68951e-06,1.56705e-05
