;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,8192
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00757441,0.000240768
1,122.07,0.00757441,0.000240768
2,244.141,0.00219049,6.96342e-05
3,366.211,0.000180309,6.14671e-06
4,488.281,1.88095e-05,2.14767e-06
5,610.352,1.89211e-05,2.33688e-06
6,732.422,1.84785e-05,2.47794e-06
7,854.492,1.89923e-05,2.56487e-06
8,976.563,1.93012e-05,2.4545e-06
9,1098.63,1.82866e-05,2.26317e-06
10,1220.7,1.74569e-05,2.09569e-06
11,1342.77,1.57833e-05,1.91462e-06
12,1464.84,1.50328e-05,1.78167e-06
13,1586.91,1.47347e-05,1.72455e-06
14,1708.98,1.42996e-05,1.75481e-06
15,1831.05,1.40632e-05,1.79646e-06
16,1953.13,1.37943e-05,1.77854e-06
17,2075.2,1.43949e-05,1.72485e-06
18,2197.27,1.46408e-05,1.71342e-06
19,2319.34,1.43042e-05,1.71303e-06
20,2441.41,1.41247e-05,1.59232e-06
21,2563.48,1.36297e-05,1.57474e-06
22,2685.55,1.36729e-05,1.61329e-06
23,2807.62,1.38315e-05,1.58335e-06
24,2929.69,1.33514e-05,1.69107e-06
25,3051.76,1.26006e-05,1.7741e-06
26,3173.83,1.29074e-05,1.73401e-06
27,3295.9,1.35566e-05,1.687e-06
28,3417.97,1.37938e-05,1.65526e-06
29,3540.04,1.37601e-05,1.59905e-06
30,3662.11,1.32678e-05,1.63927e-06
31,3784.18,1.3064e-05,1.62295e-06
32,3906.25,1.34517e-05,1.54278e-06
33,4028.32,1.3403e-05,1.52898e-06
34,4150.39,1.34796e-05,1.58504e-06
35,4272.46,1.36911e-05,1.57654e-06
36,4394.53,1.37947e-05,1.49622e-06
37,4516.6,1.3492e-05,1.48084e-06
38,4638.67,1.33927e-05,1.50909e-06
39,4760.74,1.36176e-05,1.51731e-06
40,4882.81,1.30948e-05,1.54858e-06
41,5004.88,1.25508e-05,1.58689e-06
42,5126.95,1.31225e-05,1.58859e-06
43,5249.02,1.33009e-05,1.56625e-06
44,5371.09,1.33036e-05,1.54656e-06
45,5493.16,1.33456e-05,1.50967e-06
46,5615.23,1.34564e-05,1.53187e-06
47,5737.3,1.35665e-05,1.52026e-06
48,5859.38,1.30064e-05,1.48902e-06
49,5981.45,1.29123e-05,1.45431e-06
50,6103.52,1.3006e-05,1.44132e-06
51,6225.59,1.35799e-05,1.47523e-06
52,6347.66,1.37945e-05,1.46262e-06
53,6469.73,1.34124e-05,1.44437e-06
54,6591.8,1.2553e-05,1.48001e-06
55,6713.87,1.19472e-05,1.47303e-06
56,6835.94,1.17593e-05,1.38461e-06
57,6958.01,1.15595e-05,1.41625e-06
58,7080.08,1.18174e-05,1.49081e-06
59,7202.15,1.25801e-05,1.5181e-06
60,7324.22,1.33054e-05,1.53094e-06
61,7446.29,1.31755e-05,1.55011e-06
62,7568.36,1.31712e-05,1.54138e-06
63,7690.43,1.32899e-05,1.52339e-06
64,7812.5,1.2968e-05,1.50298e-06
65,7934.57,1.25421e-05,1.54006e-06
66,8056.64,1.29913e-05,1.48551e-06
67,8178.71,1.32721e-05,1.3979e-06
68,8300.78,1.35087e-05,1.48596e-06
69,8422.85,1.35115e-05,1.51108e-06
70,8544.92,1.30008e-05,1.46627e-06
71,8666.99,1.33592e-05,1.51913e-06
72,8789.06,1.37925e-05,1.5022e-06
73,8911.13,1.34779e-05,1.41056e-06
74,9033.2,1.29078e-05,1.40663e-06
75,9155.27,1.24578e-05,1.44866e-06
76,9277.34,1.23185e-05,1.52108e-06
77,9399.41,1.25933e-05,1.58787e-06
78,9521.48,1.27818e-05,1.58214e-06
79,9643.55,1.2917e-05,1.5604e-06
80,9765.63,1.36877e-05,1.52558e-06
81,9887.7,1.41485e-05,1.53818e-06
82,10009.8,1.33811e-05,1.5332e-06
83,10131.8,1.28489e-05,1.477e-06
84,10253.9,1.28891e-05,1.47712e-06
85,10376,1.31067e-05,1.50251e-06
86,10498,1.33806e-05,1.52915e-06
87,10620.1,1.36249e-05,1.53004e-06
88,10742.2,1.34228e-05,1.45922e-06
89,10864.3,1.2643e-05,1.46963e-06
90,10986.3,1.2507e-05,1.49869e-06
91,11108.4,1.31177e-05,1.48853e-06
92,11230.5,1.29556e-05,1.48496e-06
93,11352.5,1.23069e-05,1.45481e-06
94,11474.6,1.27962e-05,1.42307e-06
95,11596.7,1.3119e-05,1.44871e-06
96,11718.8,1.32716e-05,1.4732e-06
97,11840.8,1.30804e-05,1.4659e-06
98,11962.9,1.25801e-05,1.51526e-06
99,12085,1.21551e-05,1.53819e-06
100,12207,1.24059e-05,1.49145e-06
101,12329.1,1.28726e-05,1.42606e-06
102,12451.2,1.26666e-05,1.38166e-06
103,12573.2,1.20808e-05,1.3862e-06
104,12695.3,1.18236e-05,1.39794e-06
105,12817.4,1.20021e-05,1.46708e-06
106,12939.5,1.22092e-05,1.48434e-06
107,13061.5,1.27536e-05,1.51294e-06
108,13183.6,1.27773e-05,1.58577e-06
109,13305.7,1.26593e-05,1.57002e-06
110,13427.7,1.24465e-05,1.53532e-06
111,13549.8,1.22881e-05,1.4818e-06
112,13671.9,1.23842e-05,1.46768e-06
113,13793.9,1.27063e-05,1.50535e-06
114,13916,1.32043e-05,1.54023e-06
115,14038.1,1.31788e-05,1.5813e-06
116,14160.2,1.27138e-05,1.56127e-06
117,14282.2,1.24518e-05,1.4179e-06
118,14404.3,1.26637e-05,1.40126e-06
119,14526.4,1.29172e-05,1.49676e-06
120,14648.4,1.28299e-05,1.48309e-06
121,14770.5,1.30424e-05,1.49812e-06
122,14892.6,1.29955e-05,1.56912e-06
123,15014.6,1.2768e-05,1.52933e-06
124,15136.7,1.23851e-05,1.43363e-06
125,15258.8,1.24968e-05,1.48091e-06
126,15380.9,1.23758e-05,1.54392e-06
127,15502.9,1.20137e-05,1.55089e-06
128,15625,1.24715e-05,1.54039e-06
129,15747.1,1.30941e-05,1.52353e-06
130,15869.1,1.31499e-05,1.46226e-06
131,15991.2,1.28577e-05,1.414e-06
132,16113.3,1.28446e-05,1.45868e-06
133,16235.4,1.28195e-05,1.43822e-06
134,16357.4,1.24991e-05,1.40652e-06
135,16479.5,1.2263e-05,1.44316e-06
136,16601.6,1.22212e-05,1.46008e-06
137,16723.6,1.24333e-05,1.45854e-06
138,16845.7,1.30811e-05,1.47354e-06
139,16967.8,1.38309e-05,1.5016e-06
140,17089.8,1.33943e-05,1.54904e-06
141,17211.9,1.28058e-05,1.54493e-06
142,17334,1.30682e-05,1.57287e-06
143,17456.1,1.30404e-05,1.55199e-06
144,17578.1,1.28434e-05,1.48173e-06
145,17700.2,1.25997e-05,1.41315e-06
146,17822.3,1.23029e-05,1.36346e-06
147,17944.3,1.20505e-05,1.39324e-06
148,18066.4,1.26598e-05,1.43116e-06
149,18188.5,1.30104e-05,1.49191e-06
150,18310.5,1.30344e-05,1.54966e-06
151,18432.6,1.31691e-05,1.51178e-06
152,18554.7,1.31557e-05,1.45958e-06
153,18676.8,1.31098e-05,1.44219e-06
154,18798.8,1.29907e-05,1.48067e-06
155,18920.9,1.28034e-05,1.51357e-06
156,19043,1.31493e-05,1.46115e-06
