;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000643814,0.000334545
1,24.4141,0.000643814,0.000334545
2,48.8281,0.000186406,0.000115614
3,73.2422,1.6326e-05,6.04299e-05
4,97.6563,4.68439e-06,5.73168e-05
5,122.07,4.38535e-06,6.0087e-05
6,146.484,4.47893e-06,6.27832e-05
7,170.898,4.63079e-06,6.48103e-05
8,195.313,4.63129e-06,6.79485e-05
9,219.727,4.61878e-06,6.79679e-05
10,244.141,4.82043e-06,6.76848e-05
11,268.555,4.83399e-06,6.47362e-05
12,292.969,4.8618e-06,6.23128e-05
13,317.383,4.74394e-06,6.27446e-05
14,341.797,4.5575e-06,6.39252e-05
15,366.211,4.60426e-06,6.63343e-05
16,390.625,4.82347e-06,6.83211e-05
17,415.039,4.9276e-06,6.83477e-05
18,439.453,4.75473e-06,6.52339e-05
19,463.867,4.36449e-06,6.09907e-05
20,488.281,4.2099e-06,6.25528e-05
21,512.695,4.24364e-06,6.29333e-05
22,537.109,4.31908e-06,6.09197e-05
23,561.523,4.39697e-06,5.96418e-05
24,585.938,4.64738e-06,5.82686e-05
25,610.352,4.59781e-06,5.86223e-05
26,634.766,4.4258e-06,5.81407e-05
27,659.18,4.40006e-06,5.60164e-05
28,683.594,4.44776e-06,5.4162e-05
29,708.008,4.42097e-06,5.5396e-05
30,732.422,4.49842e-06,5.7308e-05
31,756.836,4.78042e-06,5.61102e-05
32,781.25,4.86576e-06,5.41201e-05
33,805.664,4.79952e-06,5.3564e-05
34,830.078,4.80192e-06,5.21582e-05
35,854.492,4.75388e-06,5.25012e-05
36,878.906,4.65348e-06,5.75874e-05
37,903.32,4.68408e-06,5.78722e-05
38,927.734,4.75067e-06,5.65347e-05
39,952.148,4.65088e-06,5.87772e-05
40,976.563,4.42701e-06,6.01794e-05
41,1000.98,4.43728e-06,6.16653e-05
42,1025.39,4.58287e-06,6.16843e-05
43,1049.8,4.60508e-06,6.08566e-05
44,1074.22,4.44758e-06,6.36669e-05
45,1098.63,4.25469e-06,6.7769e-05
46,1123.05,4.31981e-06,7.23745e-05
47,1147.46,4.56629e-06,7.61565e-05
48,1171.88,4.69996e-06,7.55459e-05
49,1196.29,4.68455e-06,7.89843e-05
50,1220.7,4.66773e-06,9.04237e-05
51,1245.12,4.7605e-06,0.000107638
52,1269.53,4.80589e-06,0.00012699
53,1293.95,4.85131e-06,0.000157155
54,1318.36,5.00739e-06,0.000199711
55,1342.77,5.37273e-06,0.000220177
56,1367.19,5.78661e-06,0.000241474
57,1391.6,6.18265e-06,0.000268075
58,1416.02,6.487e-06,0.000291163
59,1440.43,6.44233e-06,0.00030189
60,1464.84,6.53181e-06,0.000316217
61,1489.26,6.5951e-06,0.000327306
62,1513.67,6.21273e-06,0.000310609
63,1538.09,5.85207e-06,0.000291787
64,1562.5,5.66404e-06,0.000272957
65,1586.91,5.73268e-06,0.000244364
66,1611.33,5.45987e-06,0.000194481
67,1635.74,4.87908e-06,0.000148276
68,1660.16,4.6034e-06,0.000114633
69,1684.57,4.52434e-06,9.20159e-05
70,1708.98,4.58944e-06,7.81688e-05
71,1733.4,4.62983e-06,7.11403e-05
72,1757.81,4.33318e-06,6.62752e-05
73,1782.23,4.30098e-06,6.42783e-05
74,1806.64,4.56449e-06,6.41445e-05
75,1831.05,4.58319e-06,6.32554e-05
76,1855.47,4.49193e-06,6.2242e-05
77,1879.88,4.42623e-06,5.78282e-05
78,1904.3,4.40952e-06,5.45074e-05
79,1928.71,4.44368e-06,5.37133e-05
80,1953.13,4.51379e-06,5.3495e-05
81,1977.54,4.57126e-06,5.43709e-05
82,2001.95,4.57186e-06,5.81731e-05
83,2026.37,4.49463e-06,5.79943e-05
84,2050.78,4.34521e-06,5.61607e-05
85,2075.2,4.21786e-06,5.45136e-05
86,2099.61,4.30142e-06,5.2278e-05
87,2124.02,4.23292e-06,5.27845e-05
88,2148.44,4.0466e-06,5.39028e-05
89,2172.85,4.24793e-06,5.48868e-05
90,2197.27,4.37946e-06,5.62297e-05
91,2221.68,4.32471e-06,5.4966e-05
92,2246.09,4.27209e-06,5.42815e-05
93,2270.51,4.2748e-06,5.47441e-05
94,2294.92,4.47625e-06,5.46873e-05
95,2319.34,4.67898e-06,5.5236e-05
96,2343.75,4.61689e-06,5.49544e-05
97,2368.16,4.48322e-06,5.77437e-05
98,2392.58,4.54568e-06,6.04831e-05
99,2416.99,4.53061e-06,5.71334e-05
100,2441.41,4.40806e-06,5.69631e-05
101,2465.82,4.27508e-06,6.15723e-05
102,2490.23,4.41338e-06,6.2177e-05
103,2514.65,4.46535e-06,5.63823e-05
104,2539.06,4.44037e-06,5.28641e-05
105,2563.48,4.3973e-06,5.20424e-05
106,2587.89,4.47334e-06,5.32518e-05
107,2612.3,4.454e-06,5.53964e-05
108,2636.72,4.2729e-06,5.80518e-05
109,2661.13,4.23768e-06,5.88477e-05
110,2685.55,4.03167e-06,5.76674e-05
111,2709.96,3.86939e-06,5.86595e-05
112,2734.38,4.10383e-06,5.59085e-05
113,2758.79,4.26767e-06,5.41976e-05
114,2783.2,4.32082e-06,5.58227e-05
115,2807.62,4.27973e-06,5.8343e-05
116,2832.03,4.16088e-06,5.74642e-05
117,2856.45,4.21355e-06,5.49886e-05
118,2880.86,4.32115e-06,5.37357e-05
119,2905.27,4.30932e-06,5.39837e-05
120,2929.69,4.31182e-06,5.42353e-05
121,2954.1,4.26669e-06,5.61412e-05
122,2978.52,4.17095e-06,6.07388e-05
123,3002.93,4.22622e-06,6.05175e-05
124,3027.34,4.26565e-06,5.75477e-05
125,3051.76,4.22521e-06,5.8221e-05
126,3076.17,4.26917e-06,5.68235e-05
127,3100.59,4.33427e-06,5.42768e-05
128,3125,4.39349e-06,5.4554e-05
129,3149.41,4.5393e-06,5.34322e-05
130,3173.83,4.45703e-06,5.37699e-05
131,3198.24,4.34711e-06,5.25618e-05
132,3222.66,4.33746e-06,5.342e-05
133,3247.07,4.29254e-06,5.55624e-05
134,3271.48,4.21131e-06,5.3237e-05
135,3295.9,4.20428e-06,5.36682e-05
136,3320.31,4.11569e-06,5.45267e-05
137,3344.73,4.17461e-06,5.51793e-05
138,3369.14,4.3141e-06,5.59335e-05
139,3393.55,4.26552e-06,5.69699e-05
140,3417.97,4.00793e-06,5.62878e-05
141,3442.38,4.12073e-06,5.3954e-05
142,3466.8,4.49021e-06,5.33587e-05
143,3491.21,4.4114e-06,5.60588e-05
144,3515.63,4.28603e-06,5.69151e-05
145,3540.04,4.40645e-06,5.55493e-05
146,3564.45,4.42628e-06,5.55135e-05
147,3588.87,4.48651e-06,5.41784e-05
148,3613.28,4.57102e-06,5.41467e-05
149,3637.7,4.45988e-06,5.42947e-05
150,3662.11,4.34751e-06,5.05567e-05
151,3686.52,4.40149e-06,5.11462e-05
152,3710.94,4.37088e-06,5.38512e-05
153,3735.35,4.29677e-06,5.6566e-05
154,3759.77,4.40496e-06,5.82615e-05
155,3784.18,4.3687e-06,5.70201e-05
156,3808.59,4.2209e-06,5.48309e-05
157,3833.01,4.15716e-06,5.23701e-05
158,3857.42,4.0584e-06,5.30618e-05
159,3881.84,4.29278e-06,5.41604e-05
160,3906.25,4.46902e-06,5.52645e-05
161,3930.66,4.38252e-06,5.41575e-05
162,3955.08,4.26627e-06,5.41335e-05
163,3979.49,4.24579e-06,5.97015e-05
164,4003.91,4.33211e-06,6.01798e-05
165,4028.32,4.27914e-06,5.61123e-05
166,4052.73,4.31959e-06,5.48048e-05
167,4077.15,4.36034e-06,5.35769e-05
168,4101.56,4.40442e-06,5.25539e-05
169,4125.98,4.40214e-06,5.25511e-05
170,4150.39,4.23797e-06,5.32356e-05
171,4174.8,4.25265e-06,5.34772e-05
172,4199.22,4.40288e-06,5.24043e-05
173,4223.63,4.35373e-06,5.40494e-05
174,4248.05,4.18219e-06,5.68524e-05
175,4272.46,4.3781e-06,5.43356e-05
176,4296.88,4.67309e-06,5.08576e-05
177,4321.29,4.52615e-06,5.07674e-05
178,4345.7,4.39438e-06,5.23731e-05
179,4370.12,4.41731e-06,5.18722e-05
180,4394.53,4.51555e-06,5.22128e-05
181,4418.95,4.66854e-06,5.4448e-05
182,4443.36,4.74041e-06,5.44522e-05
183,4467.77,4.65994e-06,5.55246e-05
184,4492.19,4.36856e-06,5.93277e-05
185,4516.6,4.022e-06,6.0182e-05
186,4541.02,4.08842e-06,5.82576e-05
