;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000683201,0.000228748
1,24.4141,0.000683201,0.000228748
2,48.8281,0.000197763,6.69367e-05
3,73.2422,1.70958e-05,9.0816e-06
4,97.6563,4.69801e-06,6.66579e-06
5,122.07,4.39195e-06,6.53426e-06
6,146.484,4.32961e-06,6.38102e-06
7,170.898,4.38189e-06,6.34464e-06
8,195.313,4.49133e-06,6.4383e-06
9,219.727,4.70908e-06,6.54208e-06
10,244.141,4.63947e-06,6.27473e-06
11,268.555,4.55366e-06,5.88418e-06
12,292.969,4.53367e-06,6.07453e-06
13,317.383,4.35142e-06,6.20292e-06
14,341.797,4.21499e-06,6.18869e-06
15,366.211,4.23852e-06,6.11769e-06
16,390.625,4.2061e-06,6.12037e-06
17,415.039,4.47083e-06,6.5165e-06
18,439.453,4.50133e-06,6.93596e-06
19,463.867,4.34768e-06,7.09458e-06
20,488.281,4.28145e-06,7.19882e-06
21,512.695,4.2132e-06,7.29686e-06
22,537.109,4.27624e-06,7.09681e-06
23,561.523,4.45234e-06,6.83733e-06
24,585.938,4.45955e-06,6.91839e-06
25,610.352,4.38839e-06,7.25615e-06
26,634.766,4.49376e-06,7.3303e-06
27,659.18,4.56118e-06,7.09906e-06
28,683.594,4.4755e-06,7.10967e-06
29,708.008,4.36581e-06,6.9372e-06
30,732.422,4.39085e-06,6.78893e-06
31,756.836,4.42521e-06,6.8156e-06
32,781.25,4.38507e-06,6.72542e-06
33,805.664,4.48019e-06,6.6343e-06
34,830.078,4.56145e-06,6.66991e-06
35,854.492,4.55449e-06,6.60269e-06
36,878.906,4.4322e-06,6.47551e-06
37,903.32,4.4798e-06,6.40123e-06
38,927.734,4.50982e-06,6.25793e-06
39,952.148,4.20338e-06,6.21681e-06
40,976.563,4.04132e-06,6.33597e-06
41,1000.98,4.03927e-06,6.44081e-06
42,1025.39,4.01507e-06,6.23003e-06
43,1049.8,4.12895e-06,6.2288e-06
44,1074.22,4.21744e-06,6.238e-06
45,1098.63,4.34735e-06,6.17943e-06
46,1123.05,4.37732e-06,6.07302e-06
47,1147.46,4.42674e-06,6.05653e-06
48,1171.88,4.28006e-06,6.1221e-06
49,1196.29,4.12162e-06,6.13658e-06
50,1220.7,4.21687e-06,6.06544e-06
51,1245.12,4.40291e-06,6.38098e-06
52,1269.53,4.39451e-06,6.6377e-06
53,1293.95,4.23726e-06,6.90437e-06
54,1318.36,4.07837e-06,7.51292e-06
55,1342.77,4.07622e-06,8.55293e-06
56,1367.19,4.20993e-06,9.96729e-06
57,1391.6,4.19579e-06,1.14732e-05
58,1416.02,4.25774e-06,1.38819e-05
59,1440.43,4.2737e-06,1.66827e-05
60,1464.84,4.21535e-06,1.93376e-05
61,1489.26,4.18134e-06,2.1256e-05
62,1513.67,4.27684e-06,2.40487e-05
63,1538.09,4.21021e-06,2.60561e-05
64,1562.5,4.14552e-06,2.73204e-05
65,1586.91,4.05223e-06,2.89716e-05
66,1611.33,3.89554e-06,2.75823e-05
67,1635.74,3.65931e-06,2.29683e-05
68,1660.16,3.82556e-06,2.15702e-05
69,1684.57,4.08447e-06,2.17005e-05
70,1708.98,4.0643e-06,1.93483e-05
71,1733.4,4.13722e-06,1.63958e-05
72,1757.81,4.15011e-06,1.3297e-05
73,1782.23,3.98426e-06,1.05232e-05
74,1806.64,4.12433e-06,8.67669e-06
75,1831.05,4.25848e-06,7.57856e-06
76,1855.47,4.30014e-06,6.71503e-06
77,1879.88,4.41567e-06,6.3466e-06
