;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000642068,0.000725009
1,24.4141,0.000642068,0.000725009
2,48.8281,0.000185875,0.000209763
3,73.2422,1.61611e-05,1.79197e-05
4,97.6563,4.56665e-06,5.39505e-06
5,122.07,4.37638e-06,5.38149e-06
6,146.484,4.51705e-06,5.0645e-06
7,170.898,4.6168e-06,4.85905e-06
8,195.313,4.53423e-06,4.9952e-06
9,219.727,4.3359e-06,5.13241e-06
10,244.141,4.40623e-06,5.31106e-06
11,268.555,4.41476e-06,5.13585e-06
12,292.969,4.35881e-06,4.94834e-06
13,317.383,4.53862e-06,4.74071e-06
14,341.797,4.6308e-06,4.69864e-06
15,366.211,4.62052e-06,4.53797e-06
16,390.625,4.72992e-06,4.4114e-06
17,415.039,4.74499e-06,4.51622e-06
18,439.453,4.62509e-06,4.55702e-06
19,463.867,4.62723e-06,4.60281e-06
20,488.281,4.54393e-06,4.61595e-06
21,512.695,4.38576e-06,4.63445e-06
22,537.109,4.32515e-06,4.65356e-06
23,561.523,4.32727e-06,4.61658e-06
24,585.938,4.29948e-06,4.49879e-06
25,610.352,4.44513e-06,4.56616e-06
26,634.766,4.39139e-06,4.77307e-06
27,659.18,4.3627e-06,4.91646e-06
28,683.594,4.59148e-06,4.92481e-06
29,708.008,4.69361e-06,4.75979e-06
30,732.422,4.73148e-06,4.83428e-06
31,756.836,4.57178e-06,4.88022e-06
32,781.25,4.37741e-06,4.95505e-06
33,805.664,4.62895e-06,4.93875e-06
34,830.078,4.63963e-06,4.79903e-06
35,854.492,4.53463e-06,4.81964e-06
36,878.906,4.6936e-06,4.94713e-06
37,903.32,4.65167e-06,5.06274e-06
38,927.734,4.57484e-06,4.97744e-06
39,952.148,4.6193e-06,4.59402e-06
40,976.563,4.55422e-06,4.43969e-06
41,1000.98,4.478e-06,4.45524e-06
42,1025.39,4.33197e-06,4.50557e-06
43,1049.8,4.32998e-06,4.63621e-06
44,1074.22,4.40045e-06,4.80491e-06
45,1098.63,4.35458e-06,4.75856e-06
46,1123.05,4.34487e-06,4.63114e-06
47,1147.46,4.43065e-06,4.54578e-06
48,1171.88,4.35179e-06,4.46756e-06
49,1196.29,4.22737e-06,4.3782e-06
