;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000646065,0.000420561
1,24.4141,0.000646065,0.000420561
2,48.8281,0.000187037,0.000124529
3,73.2422,1.61884e-05,2.49698e-05
4,97.6563,5.12251e-06,2.02807e-05
5,122.07,4.86909e-06,1.9851e-05
6,146.484,4.71263e-06,1.97773e-05
7,170.898,4.71374e-06,2.00289e-05
8,195.313,4.7027e-06,1.97142e-05
9,219.727,4.49072e-06,1.97007e-05
10,244.141,4.38033e-06,2.03958e-05
11,268.555,4.51583e-06,2.16088e-05
12,292.969,4.62459e-06,2.26545e-05
13,317.383,4.38904e-06,2.31281e-05
14,341.797,4.29833e-06,2.27642e-05
15,366.211,4.38455e-06,2.10547e-05
16,390.625,4.51114e-06,2.05391e-05
17,415.039,4.57993e-06,2.10351e-05
18,439.453,4.44011e-06,2.15045e-05
19,463.867,4.34217e-06,2.18534e-05
20,488.281,4.26063e-06,2.11709e-05
21,512.695,4.0196e-06,2.10361e-05
22,537.109,4.12243e-06,2.1146e-05
23,561.523,4.26678e-06,2.05866e-05
24,585.938,4.45294e-06,1.85936e-05
25,610.352,4.59076e-06,1.77733e-05
26,634.766,4.67493e-06,1.89867e-05
27,659.18,4.70323e-06,1.93399e-05
28,683.594,4.54195e-06,1.91352e-05
29,708.008,4.51203e-06,1.91142e-05
30,732.422,4.69103e-06,1.91731e-05
31,756.836,4.48776e-06,1.93629e-05
32,781.25,4.35997e-06,1.91982e-05
33,805.664,4.35118e-06,1.75588e-05
34,830.078,4.37705e-06,1.71648e-05
35,854.492,4.50588e-06,1.83004e-05
36,878.906,4.50896e-06,1.79955e-05
37,903.32,4.41346e-06,1.82425e-05
38,927.734,4.30958e-06,1.88105e-05
39,952.148,4.49324e-06,1.86991e-05
40,976.563,4.44495e-06,1.91252e-05
41,1000.98,4.30107e-06,1.97692e-05
42,1025.39,4.37711e-06,1.96493e-05
43,1049.8,4.34014e-06,1.86442e-05
44,1074.22,4.27807e-06,1.76595e-05
45,1098.63,4.28503e-06,1.73374e-05
46,1123.05,4.19825e-06,1.79757e-05
47,1147.46,4.42679e-06,1.85806e-05
48,1171.88,4.57972e-06,1.84329e-05
49,1196.29,4.45276e-06,1.86214e-05
50,1220.7,4.67105e-06,2.00203e-05
51,1245.12,4.72072e-06,2.0889e-05
52,1269.53,4.46925e-06,2.14152e-05
53,1293.95,4.42738e-06,2.25802e-05
54,1318.36,4.42592e-06,2.3546e-05
55,1342.77,4.43626e-06,2.59406e-05
56,1367.19,4.60506e-06,3.0885e-05
57,1391.6,4.49351e-06,3.88054e-05
58,1416.02,4.26554e-06,4.84938e-05
59,1440.43,4.18689e-06,6.07985e-05
