// SR1 Audio Analyzer: 10/16/2024 9:40:18 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,9.6320330026813E-9
15.625,1.11822045735166E-8
31.25,1.20532543418157E-8
46.875,1.01629311154041E-8
62.5,8.1209234224018E-9
78.125,7.54670118033844E-9
93.75,7.20208109861207E-9
109.375,6.58543599644321E-9
125,6.37020166068147E-9
140.625,6.40284882163151E-9
156.25,6.17170411212302E-9
171.875,6.06596321024244E-9
187.5,6.31029675560362E-9
203.125,6.50109361032735E-9
218.75,6.58046780372257E-9
234.375,6.8462113308388E-9
250,7.15186535025756E-9
265.625,7.15808274704649E-9
281.25,6.90226098711886E-9
296.875,6.64702524789974E-9
312.5,6.40466755296982E-9
328.125,6.03440960592128E-9
343.75,5.61889503927255E-9
359.375,5.41381427974485E-9
375,5.45698072933151E-9
390.625,5.56239318721989E-9
406.25,5.67445773203608E-9
421.875,5.71374838393472E-9
437.5,5.60392652990539E-9
453.125,5.46814066772684E-9
468.75,5.40503440013315E-9
484.375,5.4078968020166E-9
500,5.44696739202179E-9
515.625,5.48210647594304E-9
531.25,5.49138811370304E-9
546.875,5.47352853245731E-9
562.5,5.44445243487554E-9
578.125,5.46237616666876E-9
593.75,5.47984905457604E-9
609.375,5.43896401038727E-9
625,5.43322363767013E-9
640.625,5.47229547496009E-9
656.25,5.42973375350184E-9
671.875,5.35237993250989E-9
687.5,5.37489491450821E-9
703.125,5.46341175291732E-9
718.75,5.50197202036463E-9
734.375,5.44264862730672E-9
750,5.29149669969144E-9
765.625,5.16660207631176E-9
781.25,5.12795199440781E-9
796.875,5.10376794782566E-9
812.5,5.10694912342613E-9
828.125,5.15239909273646E-9
843.75,5.21780957343322E-9
859.375,5.31780935700823E-9
875,5.37353150011253E-9
890.625,5.33429256013106E-9
906.25,5.28139024133501E-9
921.875,5.3040162416908E-9
937.5,5.35504009803556E-9
953.125,5.36042105216983E-9
968.75,5.31822376208259E-9
984.375,5.21896002341885E-9
1000,5.12096396733684E-9
1015.625,5.11092450646927E-9
1031.25,5.18758823230903E-9
1046.875,5.22471206487864E-9
1062.5,5.19516785972847E-9
1078.125,5.20245566858377E-9
1093.75,5.23593594905969E-9
1109.375,5.21270022975438E-9
1125,5.18397605939408E-9
1140.625,5.23256496453992E-9
1156.25,5.33497809386633E-9
1171.875,5.38359132946614E-9
1187.5,5.34722915784202E-9
1203.125,5.37664048780583E-9
1218.75,5.42789567082244E-9
1234.375,5.33242298655664E-9
1250,5.22589600329051E-9
1265.625,5.25582728480214E-9
1281.25,5.29863679134948E-9
1296.875,5.2650131630733E-9
1312.5,5.20514018464861E-9
1328.125,5.21539512299468E-9
1343.75,5.25470990255434E-9
1359.375,5.24255276836496E-9
1375,5.21774969778429E-9
1390.625,5.1832251221623E-9
1406.25,5.14007846487333E-9
1421.875,5.1824369644918E-9
1437.5,5.28763897879846E-9
